iter	Logloss
0	0.6461215881
1	0.6029845291
2	0.5654947956
3	0.5337875569
4	0.507987975
5	0.4847090045
6	0.4653130811
7	0.4503770885
8	0.4347955085
9	0.4230817892
10	0.4121987269
11	0.401794658
12	0.3929343274
13	0.3858950165
14	0.3798296895
15	0.3754686836
16	0.3710871185
17	0.3664230357
18	0.3623583458
19	0.3581726276
20	0.3554492074
21	0.3524130466
22	0.3493597669
23	0.3464483152
24	0.3450032753
25	0.3430500428
26	0.340569247
27	0.3384148882
28	0.3368536431
29	0.3352545078
30	0.3339820611
31	0.3325904989
32	0.3311841305
33	0.3300502328
34	0.3293002193
35	0.3283615399
36	0.3272667271
37	0.326154837
38	0.3251594315
39	0.3240743335
40	0.322964516
41	0.3219352703
42	0.3211162287
43	0.3203516544
44	0.3196474287
45	0.3189951974
46	0.3185091757
47	0.3178309019
48	0.31733927
49	0.3165413801
50	0.3156014763
51	0.3145322938
52	0.3138946162
53	0.3132296891
54	0.3127887405
55	0.3121137046
56	0.3116179772
57	0.3108366825
58	0.3104363977
59	0.3099458854
60	0.3095207152
61	0.3091630411
62	0.3087712899
63	0.3082878626
64	0.307859814
65	0.3073986028
66	0.3069007439
67	0.3064949668
68	0.3060602115
69	0.3056266993
70	0.3051909288
71	0.3047516728
72	0.3042679821
73	0.3040070911
74	0.3036642489
75	0.3033522317
76	0.303114871
77	0.3027962229
78	0.3023032395
79	0.3019188305
80	0.3016136726
81	0.3012542574
82	0.3010311643
83	0.3008320862
84	0.3005703346
85	0.2999107172
86	0.2996324744
87	0.2994375969
88	0.2990483758
89	0.2987907957
90	0.2986173127
91	0.2983770848
92	0.2978393693
93	0.2975521249
94	0.2973302533
95	0.2969784097
96	0.296727282
97	0.2965050433
98	0.2961634381
99	0.2959658557
100	0.2957922043
101	0.2956372043
102	0.2950006854
103	0.2948224281
104	0.2945879082
105	0.2944049853
106	0.2942298817
107	0.2940454755
108	0.2935086471
109	0.2933372951
110	0.2930811612
111	0.2929041029
112	0.2927326612
113	0.2925946926
114	0.2924223341
115	0.2922489344
116	0.2920216361
117	0.2918073056
118	0.2916818771
119	0.2914749073
120	0.2913455906
121	0.2911520139
122	0.2910034111
123	0.290839173
124	0.2906076361
125	0.2904895463
126	0.2903651147
127	0.2901922592
128	0.2900197783
129	0.2895437723
130	0.28945708
131	0.2893069984
132	0.2891414849
133	0.2888753801
134	0.2886601694
135	0.2885209997
136	0.2883888553
137	0.2882494396
138	0.2881109085
139	0.2879412121
140	0.2878086611
141	0.287680398
142	0.287529994
143	0.2874024126
144	0.2868791283
145	0.2867668777
146	0.2865086599
147	0.2864327548
148	0.2858060193
149	0.2856748494
150	0.2855897448
151	0.2853477824
152	0.2852097407
153	0.2851121059
154	0.284989025
155	0.284888431
156	0.2846790343
157	0.2844858587
158	0.2843899239
159	0.2843063079
160	0.2841994853
161	0.2840930759
162	0.2838850705
163	0.2837522975
164	0.2836224518
165	0.2835462481
166	0.283357884
167	0.2831927547
168	0.2830712471
169	0.2829743473
170	0.2827577496
171	0.2826529693
172	0.2824958901
173	0.2823558726
174	0.282285
175	0.2821708104
176	0.2820126094
177	0.2819062911
178	0.2818269667
179	0.2815754614
180	0.2814747701
181	0.2813720976
182	0.281280384
183	0.2812027811
184	0.281083363
