iter	Passed	Remaining
0	4	4946
1	9	4756
2	14	4713
3	18	4679
4	23	4638
5	27	4632
6	32	4590
7	37	4592
8	41	4607
9	46	4598
10	51	4660
11	56	4649
12	61	4645
13	65	4634
14	70	4627
15	74	4575
16	79	4576
17	83	4563
18	88	4561
19	93	4561
20	97	4554
21	102	4543
22	106	4540
23	111	4541
24	116	4532
25	120	4528
26	125	4518
27	130	4514
28	134	4508
29	139	4503
30	143	4496
31	148	4492
32	153	4485
33	157	4477
34	162	4474
35	166	4467
36	171	4463
37	176	4459
38	180	4452
39	185	4447
40	189	4442
41	194	4436
42	199	4431
43	203	4425
44	208	4416
45	212	4409
46	217	4406
47	221	4400
48	226	4393
49	231	4390
50	235	4385
51	240	4379
52	244	4376
53	249	4369
54	254	4364
55	258	4357
56	263	4352
57	267	4346
58	272	4339
59	276	4333
60	281	4329
61	285	4324
62	290	4321
63	295	4315
64	299	4309
65	304	4303
66	308	4300
67	313	4296
68	318	4294
69	322	4288
70	327	4281
71	331	4275
72	336	4270
73	341	4267
74	345	4263
75	350	4258
76	354	4253
77	359	4248
78	363	4241
79	368	4237
80	373	4234
81	377	4231
82	384	4252
83	391	4274
84	396	4269
85	401	4264
86	406	4267
87	411	4261
88	415	4256
89	420	4254
90	426	4257
91	430	4250
92	435	4244
93	439	4239
94	444	4233
95	448	4227
96	453	4222
97	458	4217
98	462	4211
99	467	4206
100	472	4201
101	476	4196
102	481	4190
103	485	4184
104	490	4180
105	495	4175
106	499	4169
107	504	4165
108	508	4159
109	513	4154
110	518	4149
111	522	4143
112	527	4137
113	531	4132
114	536	4127
115	540	4122
116	545	4116
117	550	4112
118	554	4106
119	559	4101
120	563	4096
121	568	4091
122	573	4085
123	577	4079
124	582	4075
125	586	4070
126	591	4065
127	595	4059
128	600	4053
129	604	4048
130	609	4042
131	614	4037
132	622	4058
133	627	4057
134	632	4054
135	637	4052
136	645	4064
137	650	4060
138	655	4059
139	660	4059
140	665	4055
141	670	4053
142	675	4047
143	680	4042
144	687	4053
145	691	4047
146	696	4041
147	701	4035
148	705	4030
149	710	4024
150	714	4019
151	719	4016
152	724	4010
153	728	4004
154	733	3997
155	737	3992
156	742	3986
157	746	3980
158	751	3975
159	756	3969
160	760	3964
161	765	3958
162	769	3953
163	774	3948
164	779	3943
165	783	3937
166	788	3932
167	792	3926
168	797	3921
169	802	3916
170	806	3910
171	811	3905
172	815	3900
173	820	3895
174	825	3889
175	829	3884
176	834	3878
177	838	3873
178	843	3867
179	847	3862
180	852	3856
181	856	3850
182	861	3845
183	865	3839
184	870	3834
185	874	3829
186	879	3823
187	884	3820
188	894	3836
189	899	3833
190	903	3827
191	908	3822
192	913	3817
193	917	3812
194	922	3806
195	927	3805
196	932	3800
197	936	3795
198	941	3789
199	946	3784
200	950	3779
201	955	3774
202	959	3768
203	964	3763
204	968	3757
205	973	3751
206	984	3770
207	992	3778
208	997	3775
209	1002	3769
210	1006	3764
211	1011	3759
212	1016	3756
213	1021	3750
214	1025	3745
215	1030	3740
216	1035	3737
217	1040	3731
218	1045	3728
219	1052	3730
220	1056	3724
