iter	Logloss
0	0.5125330912
1	0.4315369565
2	0.3878028077
3	0.359017327
4	0.3429750055
5	0.3303647422
6	0.3214676898
7	0.3164836432
8	0.312394115
9	0.307621879
10	0.3044016536
11	0.3016027298
12	0.2995953596
13	0.2971443833
14	0.2959147643
15	0.2948508927
16	0.2935419534
17	0.2923903326
18	0.2912719416
19	0.2899795012
20	0.2875730897
21	0.2868691202
22	0.2863635425
23	0.2859905333
24	0.2851779219
25	0.2845229622
26	0.2839411656
27	0.2835385753
28	0.2828980681
29	0.2824587858
30	0.2816043889
31	0.2810144265
32	0.280627096
33	0.2798334015
34	0.2790041421
35	0.2782210622
36	0.2778756126
37	0.2776436166
38	0.2770673976
39	0.2767905215
40	0.2763558814
41	0.27599651
42	0.2756987426
43	0.2752149815
44	0.2748392256
45	0.2744208103
46	0.2738614633
47	0.2735163297
48	0.2730374416
49	0.2729131868
50	0.2718627693
51	0.2716290959
52	0.2711582484
53	0.2710216918
54	0.2705779912
55	0.270084278
56	0.2698333306
57	0.2695811174
58	0.269388778
59	0.2692256081
60	0.2689987786
61	0.2686672164
62	0.2682262262
63	0.2680541655
64	0.2677394796
65	0.2675862105
66	0.2671928331
67	0.2665615421
68	0.2664045428
69	0.2660335023
70	0.2657509132
71	0.265473944
72	0.264825253
73	0.2647049195
74	0.2644093056
75	0.2642706945
76	0.2640315057
77	0.2637429585
78	0.2635475098
79	0.2634019103
80	0.263314051
81	0.2630473608
82	0.262842791
83	0.2624728318
84	0.2623573323
85	0.2621353579
86	0.2618437723
87	0.261616397
88	0.2615481354
89	0.2612322501
90	0.260843633
91	0.2605074161
92	0.2604149569
93	0.2603232537
94	0.260143492
95	0.2600278588
96	0.2597397104
97	0.2596294299
98	0.2593545669
99	0.2589894663
