iter	Passed	Remaining
0	2	209
1	4	212
2	6	208
3	8	205
4	10	204
5	13	203
6	15	201
7	17	199
8	19	197
9	21	195
10	24	194
11	26	193
12	28	191
13	30	188
14	32	185
15	35	183
16	37	181
17	39	178
18	41	176
19	43	174
20	45	171
21	47	169
22	50	167
23	52	165
24	54	163
25	56	160
26	58	158
27	60	156
28	63	154
29	65	152
30	67	150
31	69	147
32	71	145
33	73	143
34	75	141
35	78	139
36	80	136
37	82	134
38	84	132
39	86	129
40	88	127
41	90	125
42	93	123
43	95	121
44	97	118
45	99	116
46	101	114
47	103	112
48	105	110
49	107	107
50	110	105
51	112	103
52	114	101
53	116	99
54	118	97
55	121	95
56	123	93
57	125	91
58	128	88
59	130	86
60	132	84
61	134	82
62	136	80
63	138	77
64	140	75
65	142	73
66	145	71
67	147	69
68	149	67
69	151	64
70	153	62
71	155	60
72	157	58
73	160	56
74	162	54
75	164	51
76	166	49
77	168	47
78	171	45
79	173	43
80	175	41
81	177	39
82	180	36
83	182	34
84	184	32
85	186	30
86	188	28
87	190	26
88	192	23
89	194	21
90	197	19
91	199	17
92	201	15
93	203	12
94	205	10
95	207	8
96	210	6
97	212	4
98	214	2
99	216	0
