date_block_num,#mon,#tue,#wed,#thu,#fri,#sat,#sun,#sat+sun,#days,month_id
0,4,5,5,5,4,4,4,8,31,1
1,4,4,4,4,4,4,4,8,28,2
2,4,4,4,4,5,5,5,10,31,3
3,5,5,4,4,4,4,4,8,30,4
4,4,4,5,5,5,4,4,8,31,5
5,4,4,4,4,4,5,5,10,30,6
6,5,5,5,4,4,4,4,8,31,7
7,4,4,4,5,5,5,4,9,31,8
8,5,4,4,4,4,4,5,9,30,9
9,4,5,5,5,4,4,4,8,31,10
10,4,4,4,4,5,5,4,9,30,11
11,5,5,4,4,4,4,5,9,31,12
12,4,4,5,5,5,4,4,8,31,1
13,4,4,4,4,4,4,4,8,28,2
14,5,4,4,4,4,5,5,10,31,3
15,4,5,5,4,4,4,4,8,30,4
16,4,4,4,5,5,5,4,9,31,5
17,5,4,4,4,4,4,5,9,30,6
18,4,5,5,5,4,4,4,8,31,7
19,4,4,4,4,5,5,5,10,31,8
20,5,5,4,4,4,4,4,8,30,9
21,4,4,5,5,5,4,4,8,31,10
22,4,4,4,4,4,5,5,10,30,11
23,5,5,5,4,4,4,4,8,31,12
24,4,4,4,5,5,5,4,9,31,1
25,4,4,4,4,4,4,4,8,28,2
26,5,5,4,4,4,4,5,9,31,3
27,4,4,5,5,4,4,4,8,30,4
28,4,4,4,4,5,5,5,10,31,5
29,5,5,4,4,4,4,4,8,30,6
30,4,4,5,5,5,4,4,8,31,7
31,5,4,4,4,4,5,5,10,31,8
32,4,5,5,4,4,4,4,8,30,9
33,4,4,4,5,5,5,4,9,31,10
34,5,4,4,4,4,4,5,9,30,11
