item_category_name,item_category_id
PC - Headsets / Headphones,0
 Accessories - PS2,1
 Accessories - PS3,2
 Accessories - PS4,3
 Accessories - PSP,4
 Accessories - PSVita,5
 Accessories - XBOX 360,6
 Accessories - XBOX ONE,7
 Tickets (Digital),8
 Delivery of goods,9
 Game consoles - PS2,10
 Game consoles - PS3,11
 Game consoles - PS4,12
 Game consoles - PSP,13
 Game consoles - PSVita,14
 Game consoles - XBOX 360,15
 Game consoles - XBOX ONE,16
 Game consoles - Others,17
 Games - PS2,18
 Games - PS3,19
 Games - PS4,20
 Games - PSP,21
 Games - PSVita,22
 Games - XBOX 360,23
 Games - XBOX ONE,24
 Games - Game accessories,25
 Android games - Number,26
 MAC Games - Number,27
 PC Games - Additional Editions,28
 PC Games - Collector's Editions,29
 PC Games - Standard Editions,30
 PC Games - Digital,31
" Payment Cards (Cinema, Music, Games)",32
 Payment Cards - Live!,33
 Payment Cards - Live! (Digital),34
 Payment cards - PSN,35
 Payment cards - Windows (Digital),36
 Cinema - Blu-Ray,37
 Cinema - Blu-Ray 3D,38
 Cinema - Blu-Ray 4K,39
 Cinema - DVD,40
 Cinema - Collector's,41
" Books - Artbooks, encyclopedias ",42
 Books - Audiobooks,43
 Books - Audiobooks (Digit),44
 Books - Audiobooks 1C,45
 Books - Business literature,46
" Books - Comics, manga",47
 Books - Computer literature,48
 Books - Methodological materials 1C,49
 Books - Postcards,50
 Books - Cognitive literature,51
 Books - Guides,52
 Books - Fiction,53
 Books - Digital,54
 Music - CD of local production,55
 Music - CD of corporate production,56
 Music - MP3,57
 Music - Vinyl,58
 Music - Music video,59
 Music - Gift editions,60
 Gifts - Attributes,61
" Gifts - Gadgets, robots , sports",62
 Gifts - Soft toys,63
 Gifts - Board games,64
 Gifts - Board games (compact),65
" Gifts - Cards, stickers",66
 Gifts - Development,67
" Gifts - Certificates, services",68
 Gifts - Souvenirs,69
 Gifts - Souvenirs (hinged),70
" Gifts - Bags, Albums, Mousepads",71
 Gifts - Figures,72
 Programs - 1C: Enterprise 8,73
 Programs - MAC (Digit),74
 Programs - For home and office,75
 Programs - For home and office (Digit),76
 Programs - Educational,77
 Programs - Educational (Digit),78
 Service,79
 Service - Tickets,80
 Blank media (spire),81
 Blank media (piece) ,82
 Batteries,83
