item_id,item_category_id,item_name
0,40,!! IN THE POWER OF HAPPINESS (PLAST) D
1,76,"! ABBYY FineReader 12 Professional Edition Full [PC, Digital Version]"
2,40,*** IN THE GLORY OF THE GLORY (UNV) D
3,40,*** BLUE WAVE (Univ) D
4,40,*** BOX (GLASS) D
5,40,*** NEW AMERICAN GRAPHICS (UNI) D
6,40,*** BLOCK ON THE GATES (UNI) D
7,40,*** SHOCK AT DOOR-2 (UNI) D
8,40,*** TEA WITH MUSSOLINI D
9,40,*** SHUGARLEND EXPRESS (UNI) D
10,40,* Beyond Death's Edge D
11,40,* LINE OF COMMENTS D
12,55,* MICHAEL AND JUMANJI Female love
13,40,* SAVING EMILY D
14,40,* PRIVATE PROFESSOR / MAGIC / D
15,40,// ADRENALIN: ONE AGAINST ALL (Region)
16,40,// MONGOL S.Bodrov (Region)
17,40,// NOT OBSERVING THE TRACK (Region)
18,40,/ BOMB FOR THE BRIDE / 2DVD / D
19,40,/ GOLDEN COLLECTION m / f-72
20,40,/ ONCE IN CHINA-2
21,40,/LAST CHANCE
22,40,/ CURED EL CHARRO
23,40,/ NORTH AND SOUTH / N.2
24,40,/ THE DEATH PASSAGE
25,40,/YOU ARE DEAD
26,40,/ MULTIPLE FREQUENCY vol.2 (ser.3-4)
27,19,"007 Legends [PS3, Russian version]"
28,30,"007 Legends [PC, Jewel, Russian version]"
29,23,"007 Legends [Xbox 360, Russian version]"
30,40,"007: COORDINATES ""SKYFOLL"""
31,37,"007: COORDINATES ""SKYFOLL"" (BD)"
32,40,1+1
33,37,1+1 (BD)
34,40,10 000 YEARS OLDER OUR WB (region)
35,40,10 YEARS LATER
36,37,10 YEARS LATER (BD)
37,40,10 YEARS LATER (region)
38,41,10 MOST POPULAR CINEMATICS OF THE 20TH CENTURY 10DVD (rem)
39,41,10 MOST POPULAR PATRIOTIC COMMEMORIES OF THE 20TH CENTURY (BD)
40,57,100 Best classical melodies (mp3-CD) (Digipack)
41,57,100 Best relax melodies (mp3-CD) (CD-Digipack)
42,57,100 Best romantic melodies (mp3-CD) (Digipack)
43,40,100 MILLION EURO
44,57,100 best melodies against stress (mp3-CD) (CD-Digipack)
45,57,100 best folk songs (mp3-CD) (CD-Digipack)
46,57,100 best works of Bach (mp3-CD) (Digipack)
47,57,100 best works of Beethoven (mp3-CD) (Digipack)
48,57,100 best works of Vivaldi (mp3-CD) (CD-Digipack)
49,57,100 best works of Mozart (mp3-CD) (Digipack)
50,57,100 best works of Rachmaninov (mp3-CD) (Jewel)
51,57,100 best works of classics (mp3-CD) (Digipack)
52,57,100 best works of piano music (mp3-CD) (CD-Digipack)
53,57,100 best Russian romances (mp3-CD) (CD-Digipack)
