shop_name,shop_id
Yakutsk Ordzhonikidze - 56 francs,0
Yakutsk TC Central fran,1
Adygea TC Mega,2
Balashikha TC Oktyabr-Kinomir,3
Volga TC Volga Mall,4
Vologda SEC Marmelad,5
Voronezh (Plekhanovskaya 13),6
Voronezh SEC Maksimir,7
Voronezh SEC City-Park Grad,8
Outbound Trade,9
Zhukovsky st. Chkalov 39m?,10
Zhukovsky st. Chkalov 39m²,11
Internet-shop of emergency situations,12
Kazan TC Behetle,13
Kazan TC ParkHouse II,14
Kaluga TC XXI century,15
Kolomna TC Rio,16
Krasnoyarsk TC Vzletka Plaza,17
Krasnoyarsk TC June,18
Kursk TC  Pushkinskiy ,19
Moscow Sale ,20
Moscow MTRC Afi Mall ,21
Moscow Shop C21,22
Moscow TK Budenovskiy (pav.A2),23
Moscow TK Budenovskiy (pav.K7),24
Moscow TEC Atrium ,25
Moscow TTS Areal (Belyaevo),26
Moscow TC MEGA Belaya Dacha II ,27
Moscow TC MEGA Teply Stan II,28
Moscow TC New Age (Novokosino),29
Moscow TC Perlovsky ,30
Moscow TC Semenovsky ,31
Moscow TC Serebryany House ,32
Mytishchi SEC XL-3 ,33
Nizhni.Novgorod SEC RIO ,34
Nizhni.Novgorod SEC Fantasy ,35
Novosibirsk SEC Gallery Novosibirsk ,36
Novosibirsk SEC Mega ,37
Omsk TC Mega ,38
Rostov-on-Don SEC Megacenter Horizon,39
Rostov-on-Don Megatsentr Gorizont Ostrovnoy shopping mall,40
Rostov-on-Don Mega shopping center,41
St.Petersburg Nevsky Center shopping center,42
St.Petersburg Sennaya shopping center,43
Samara Melody shopping center,44
Samara ParkHouse shopping center,45
Sergiev Posad 7Ya shopping center,46
Surgut SEC City Mall,47
Tomsk SEC Emerald City,48
Tyumen SEC Crystal,49
Tyumen SEC Goodwin,50
Tyumen TC Green Coast ,51
Ufa TC Central ,52
Ufa TC Family 2,53
Khimki TC Mega ,54
Digital warehouse 1C-Online,55
Chekhov TC Karnaval ,56
Yakutsk Ordzhonikidze - 56,57
Yakutsk TC Central ,58
Yaroslavl TC Altair ,59
